Domain,Check Date,Page URL,Page Title
www.crowdstrikeupdate.com,27-Jul-2024 18:04:10 - UTC,https://www.crowdstrikeupdate.com/,crowdstrikeupdate.com
suportecrowdstrike.com,27-Jul-2024 17:59:23 - UTC,https://suportecrowdstrike.com/,
crowdstrikeout.com,27-Jul-2024 17:53:48 - UTC,http://crowdstrikeout.com/,porkbun.com | parked domain
crowdstrikelawsuit.com,27-Jul-2024 17:48:36 - UTC,https://crowdstrikelawsuit.com/,crowdstrikelawsuit.com
www.crowdstrikeoops.com,27-Jul-2024 17:43:25 - UTC,https://www.crowdstrikeoops.com/,crowdstrikeoops.com - Informationen zum Thema crowdstrikeoops.
www.fixmycrowdstrike.com,27-Jul-2024 17:38:12 - UTC,https://www.fixmycrowdstrike.com/,Error
www.crowdstrikepatch.com,27-Jul-2024 17:33:00 - UTC,https://www.crowdstrikepatch.com/,crowdstrikepatch.com - Informationen zum Thema crowdstrikepatch.
www.crowdstrike.cam,27-Jul-2024 17:27:49 - UTC,https://www.crowdstrike.cam/,crowdstrike.cam - Informationen zum Thema crowdstrike.
crowdstrikesupport.info,27-Jul-2024 17:17:27 - UTC,http://crowdstrikesupport.info/,porkbun.com | parked domain
ww16.crowdstrikeclassaction.com.au,27-Jul-2024 17:12:15 - UTC,https://ww16.crowdstrikeclassaction.com.au/,crowdstrikeclassaction.com.au - This website is for sale! - crowdstrikeclassaction Resources and Information.
crowdstrike.develop.net,27-Jul-2024 17:07:03 - UTC,https://crowdstrike.develop.net/,develop.net
crowdstrike.bio,27-Jul-2024 17:05:43 - UTC,https://crowdstrike.bio/,Crowdstrike
crowdstrikecure.com,27-Jul-2024 17:01:55 - UTC,http://crowdstrikecure.com/,
suportecrowdstrike.com,27-Jul-2024 16:56:41 - UTC,https://suportecrowdstrike.com/lander,
crowdstrikebug.com,27-Jul-2024 16:51:30 - UTC,https://crowdstrikebug.com/,"CrowdStrike Bug and Fix | This is a website dedicated to understand more about the incident that happened on July 18, 2024 due to software update from CrowdStike."
www.crowdstrike.bot,27-Jul-2024 16:46:19 - UTC,https://www.crowdstrike.bot/,crowdstrike.bot - crowdstrike Resources and Information.
secure-crowdstrike.com,27-Jul-2024 16:41:09 - UTC,https://secure-crowdstrike.com/lander,
crowdstrikeglitch.com,27-Jul-2024 16:35:58 - UTC,https://crowdstrikeglitch.com/,crowdstrikeglitch.com
crowdstrikeoops.com,27-Jul-2024 16:31:12 - UTC,https://crowdstrikeoops.com/,
www.crowdstrikeoutage.com,27-Jul-2024 16:25:59 - UTC,https://www.crowdstrikeoutage.com/,crowdstrikeoutage.com - Informationen zum Thema crowdstrikeoutage.
crowdstrike.cam,27-Jul-2024 16:20:50 - UTC,https://crowdstrike.cam/,
ww16.crowdstrikeclassaction.com.au,27-Jul-2024 16:15:11 - UTC,https://ww16.crowdstrikeclassaction.com.au/,crowdstrikeclassaction.com.au - This website is for sale! - crowdstrikeclassaction Resources and Information.
crowdstrikeclassaction.com.au,27-Jul-2024 16:05:13 - UTC,http://crowdstrikeclassaction.com.au/,
crowdstrikefix.zip,27-Jul-2024 15:59:26 - UTC,https://crowdstrikefix.zip/,Coming Soon
crowdstrikeplatform.info,27-Jul-2024 15:49:04 - UTC,http://crowdstrikeplatform.info/,porkbun.com | parked domain
www.fixmycrowdstrike.com,27-Jul-2024 15:43:53 - UTC,https://www.fixmycrowdstrike.com/,Error
crowdstrikeoopsie.com,27-Jul-2024 15:39:40 - UTC,https://crowdstrikeoopsie.com/,BEST EDR LMAO
fixcrowdstrike.com.au,27-Jul-2024 15:34:13 - UTC,https://fixcrowdstrike.com.au/,
www.crowdstriked.net,27-Jul-2024 15:28:23 - UTC,https://www.crowdstriked.net/,crowdstriked.net - crowdstriked Resources and Information.
crowdstrikerecovery1.blob.core.windows.net,27-Jul-2024 15:23:04 - UTC,https://crowdstrikerecovery1.blob.core.windows.net/,
pay.crowdstrikerecovery.com,27-Jul-2024 15:17:53 - UTC,https://pay.crowdstrikerecovery.com/,Online payment @ Crowd Strike Recovery
www.crowdstrikeplatform.com,27-Jul-2024 15:12:43 - UTC,https://www.crowdstrikeplatform.com/,
www.suportecrowdstrike.com,27-Jul-2024 15:07:42 - UTC,https://www.suportecrowdstrike.com/lander,
www.fixcrowdstrike.com,27-Jul-2024 14:57:12 - UTC,https://www.fixcrowdstrike.com/,fixcrowdstrike.com - Informationen zum Thema fixcrowdstrike.
www.sinkhole-d845c7b471d9adc14942f95105d5ffcf.crowdstrikeupdate.com,27-Jul-2024 14:51:57 - UTC,https://www.sinkhole-d845c7b471d9adc14942f95105d5ffcf.crowdstrikeupdate.com/,crowdstrikeupdate.com
www.crowdstrikeoopsies.com,27-Jul-2024 14:46:36 - UTC,https://www.crowdstrikeoopsies.com/,crowdstrikeoopsies.com - Informationen zum Thema crowdstrikeoopsies.
www.crowdstrikehelp.com,27-Jul-2024 14:36:13 - UTC,https://www.crowdstrikehelp.com/,
www3.crowdstrikefix.co,27-Jul-2024 14:31:01 - UTC,https://www3.crowdstrikefix.co/?tm=1&subid4=1722090657.0287090000&KW1=Managed%20Cyber%20Security%20Services&KW2=High%20Security%20Cloud%20Storage&KW3=Cyber%20Security%20Certification%20Courses%20Online&KW4=ICT%20Services&searchbox=0&domainname=0&backfill=0,crowdstrikefix.co
www.crowdstrike.develop.net,27-Jul-2024 14:20:59 - UTC,https://www.crowdstrike.develop.net/,develop.net
fixmycrowdstrike.com,27-Jul-2024 14:15:27 - UTC,https://fixmycrowdstrike.com/,Error
crowdstrikeglitch.com,27-Jul-2024 14:10:14 - UTC,https://crowdstrikeglitch.com/,crowdstrikeglitch.com
www.crowdstrikemedaddy.com,27-Jul-2024 14:05:07 - UTC,https://www.crowdstrikemedaddy.com/,Home
crowdstrikefix.blog,27-Jul-2024 14:00:16 - UTC,https://crowdstrikefix.blog/,
crowdstrike.us.org,27-Jul-2024 13:55:05 - UTC,https://crowdstrike.us.org/,
crowdstrikerecovery.com,27-Jul-2024 13:49:34 - UTC,https://crowdstrikerecovery.com/,crowdstrikerecovery.com
crowdstrikehelp.com,27-Jul-2024 13:44:18 - UTC,https://crowdstrikehelp.com/,
crowdstrike35.rssing.com,27-Jul-2024 13:41:37 - UTC,https://crowdstrike35.rssing.com/chan-81033769/index-latest.php,Engineering & Tech Archives - crowdstrike.com
www.crowdstrike.outage.com,27-Jul-2024 13:39:08 - UTC,https://www.crowdstrike.outage.com/,outage.com
crowdstrikehelp.com,27-Jul-2024 13:34:00 - UTC,http://crowdstrikehelp.com/,porkbun.com | parked domain
www.crowdstrike-falcon.online,27-Jul-2024 13:28:45 - UTC,https://www.crowdstrike-falcon.online/,crowdstrike-falcon.online - crowdstrike falcon Resources and Information.
www3.crowdstrikefix.co,27-Jul-2024 13:23:44 - UTC,https://www3.crowdstrikefix.co/?tm=1&subid4=1722086618.0164060000&KW1=Managed%20Security%20Services&KW2=IT%20Security%20Assessment%20Companies&KW3=Advantages%20of%20MDR%20over%20MSSP&KW4=ICT%20Services&searchbox=0&domainname=0&backfill=0,crowdstrikefix.co
crowdstrike.one,27-Jul-2024 13:18:47 - UTC,https://crowdstrike.one/,
crowdstrikerecovery.com,27-Jul-2024 13:13:13 - UTC,https://crowdstrikerecovery.com/,crowdstrikerecovery.com
crowdstrike.orora.group,27-Jul-2024 13:07:58 - UTC,https://crowdstrike.orora.group/,503 Service Temporarily Unavailable
crowdstrikelawsuit.com,27-Jul-2024 13:02:46 - UTC,https://crowdstrikelawsuit.com/,crowdstrikelawsuit.com
www.fixcrowdstrike.com.au,27-Jul-2024 12:58:01 - UTC,http://www.fixcrowdstrike.com.au/,
fixcrowdstrike.com.au,27-Jul-2024 12:52:50 - UTC,http://fixcrowdstrike.com.au/,
www.microsoftcrowdstrike.com,27-Jul-2024 12:47:16 - UTC,https://www.microsoftcrowdstrike.com/,2024 CrowdStrike incident | Windows CrowdStrike
crowdstrikefix.zip,27-Jul-2024 12:42:03 - UTC,https://crowdstrikefix.zip/,Coming Soon
www.crowdstrikefix.zip,27-Jul-2024 12:36:52 - UTC,https://www.crowdstrikefix.zip/,Coming Soon
howtofixcrowdstrikeissue.com,27-Jul-2024 12:31:57 - UTC,https://howtofixcrowdstrikeissue.com/,How to Fix CrowdStrike Issue?
sinkhole-d845c7b471d9adc14942f95105d5ffcf.crowdstrikeupdate.com,27-Jul-2024 12:21:20 - UTC,https://sinkhole-d845c7b471d9adc14942f95105d5ffcf.crowdstrikeupdate.com/,crowdstrikeupdate.com
www.crowdstrike.blue,27-Jul-2024 12:16:09 - UTC,https://www.crowdstrike.blue/,crowdstrike.blue - Informationen zum Thema crowdstrike.
www.magento.crowdstrike.litemos.com,27-Jul-2024 12:10:58 - UTC,https://www.magento.crowdstrike.litemos.com/,litemos.com
www.crowdstriked.net,27-Jul-2024 12:06:03 - UTC,https://www.crowdstriked.net/,crowdstriked.net - Informationen zum Thema crowdstriked.
www.crowdstrikeoutage.com,27-Jul-2024 11:55:26 - UTC,https://www.crowdstrikeoutage.com/,crowdstrikeoutage.com - crowdstrikeoutage Resources and Information.
crowdstrikerecovery.com,27-Jul-2024 11:50:16 - UTC,https://crowdstrikerecovery.com/,crowdstrikerecovery.com
www.crowdstrike-bsod.co,27-Jul-2024 11:45:28 - UTC,https://www.crowdstrike-bsod.co/,
www.crowdstrike.blue,27-Jul-2024 11:42:25 - UTC,https://www.crowdstrike.blue/,crowdstrike.blue - Informationen zum Thema crowdstrike.
crowdstrikeoutage.info,27-Jul-2024 11:39:51 - UTC,https://crowdstrikeoutage.info/," 403 Forbidden
"
iscrowdstrikefixed.com,27-Jul-2024 11:34:39 - UTC,https://iscrowdstrikefixed.com/,Is CrowdStrike Issue Fixed Yet?
crowdstrikerecovery1.blob.core.windows.net,27-Jul-2024 11:29:10 - UTC,https://crowdstrikerecovery1.blob.core.windows.net/,
howtofixcrowdstrikeissue.com,27-Jul-2024 11:23:59 - UTC,https://howtofixcrowdstrikeissue.com/,How to Fix CrowdStrike Issue?
www.crowdstrikefix.info,27-Jul-2024 11:19:13 - UTC,https://www.crowdstrikefix.info/,
crowdstrikebluescreen.com,27-Jul-2024 11:19:06 - UTC,https://crowdstrikebluescreen.com/lander,
crowdstrike.outage.com,27-Jul-2024 11:13:37 - UTC,https://crowdstrike.outage.com/,outage.com
crowdstrikerecovery.live,27-Jul-2024 11:08:52 - UTC,https://crowdstrikerecovery.live/,
fuckcrowdstrike.com,27-Jul-2024 11:03:19 - UTC,http://fuckcrowdstrike.com/,
